"","items","support","count"
"1","{291,426}",0.602209944751381,1853
"2","{291,448}",0.6145596360091,1891
"3","{298,448}",0.607409814754631,1869
"4","{300,315}",0.601559961000975,1851
"5","{315,448}",0.6145596360091,1891
"6","{300,337}",0.601559961000975,1851
"7","{337,426}",0.601559961000975,1851
"8","{337,448}",0.610009749756256,1877
"9","{258,448}",0.603184920376991,1856
"10","{114,448}",0.609034774130647,1874
"11","{448,48}",0.602209944751381,1853
"12","{426,438}",0.607734806629834,1870
"13","{438,448}",0.615209619759506,1893
"14","{448,92}",0.609034774130647,1874
"15","{428,448}",0.605784855378616,1864
"16","{18,426}",0.640558986025349,1971
"17","{18,448}",0.645108872278193,1985
"18","{448,78}",0.601559961000975,1851
"19","{253,448}",0.602859928501787,1855
"20","{418,75}",0.606759831004225,1867
"21","{308,418}",0.604809879753006,1861
"22","{300,418}",0.6041598960026,1859
"23","{418,426}",0.620734481637959,1910
"24","{418,448}",0.638934026649334,1966
"25","{3,57}",0.620409489762756,1909
"26","{260,3}",0.619109522261943,1905
"27","{3,300}",0.626584335391615,1928
"28","{3,426}",0.623009424764381,1917
"29","{3,448}",0.635034124146896,1954
"30","{205,476}",0.605784855378616,1864
"31","{476,70}",0.608059798505037,1871
"32","{426,476}",0.615209619759506,1893
"33","{448,476}",0.643808904777381,1981
"34","{178,376}",0.615534611634709,1894
"35","{178,260}",0.608059798505037,1871
"36","{178,300}",0.616184595385115,1896
"37","{178,426}",0.640558986025349,1971
"38","{178,448}",0.660058498537537,2031
"39","{410,477}",0.607409814754631,1869
"40","{376,477}",0.608384790380241,1872
"41","{260,477}",0.606434839129022,1866
"42","{448,477}",0.620084497887553,1908
"43","{110,233}",0.615209619759506,1893
"44","{233,70}",0.612934676633084,1886
"45","{233,300}",0.631784205394865,1944
"46","{233,426}",0.609034774130647,1874
"47","{233,448}",0.632434189145271,1946
"48","{308,314}",0.602209944751381,1853
"49","{110,314}",0.600584985375366,1848
"50","{314,70}",0.606759831004225,1867
"51","{260,314}",0.621384465388365,1912
"52","{300,314}",0.633084172895678,1948
"53","{314,426}",0.618459538511537,1903
"54","{314,448}",0.63958401039974,1968
"55","{155,426}",0.610984725381866,1880
"56","{155,448}",0.641533961650959,1974
"57","{122,180}",0.605134871628209,1862
"58","{122,205}",0.607409814754631,1869
"59","{122,376}",0.607084822879428,1868
"60","{122,70}",0.608709782255444,1873
"61","{122,300}",0.610334741631459,1878
"62","{122,426}",0.616834579135522,1898
"63","{122,448}",0.643483912902177,1980
"64","{177,189}",0.618459538511537,1903
"65","{189,70}",0.600909977250569,1849
"66","{189,426}",0.636009099772506,1957
"67","{189,448}",0.647708807279818,1993
"68","{158,468}",0.605134871628209,1862
"69","{158,222}",0.614234644133897,1890
"70","{158,75}",0.615859603509912,1895
"71","{130,158}",0.619434514137147,1906
"72","{158,376}",0.601884952876178,1852
"73","{158,70}",0.606434839129022,1866
"74","{158,260}",0.639259018524537,1967
"75","{158,300}",0.602859928501787,1855
"76","{158,426}",0.629509262268443,1937
"77","{158,448}",0.65518362040949,2016
"78","{308,375}",0.605784855378616,1864
"79","{110,375}",0.601884952876178,1852
"80","{260,375}",0.625934351641209,1926
"81","{300,375}",0.630809229769256,1941
"82","{375,426}",0.624634384140397,1922
"83","{375,448}",0.63958401039974,1968
"84","{405,499}",0.615859603509912,1895
"85","{275,499}",0.61358466038349,1888
"86","{130,499}",0.610984725381866,1880
"87","{499,57}",0.624634384140397,1922
"88","{110,499}",0.6145596360091,1891
"89","{376,499}",0.621709457263568,1913
"90","{499,70}",0.6041598960026,1859
"91","{260,499}",0.635034124146896,1954
"92","{300,499}",0.618134546636334,1902
"93","{426,499}",0.630809229769256,1941
"94","{448,499}",0.664283392915177,2044
"95","{203,404}",0.603184920376991,1856
"96","{275,404}",0.608059798505037,1871
"97","{130,404}",0.61358466038349,1888
"98","{404,57}",0.633409164770881,1949
"99","{308,404}",0.608709782255444,1873
"100","{110,404}",0.603184920376991,1856
"101","{376,404}",0.616184595385115,1896
"102","{404,70}",0.634059148521287,1951
"103","{260,404}",0.646733831654209,1990
